Win-Loss Percentage,SO,IP,Age,Lg,H,R,ERA,SB,BA,OBP
0.828,250,251,28,AL,174,73,2.4,10,0.193,0.242
0.786,236,229,29,NL,150,52,1.77,27,0.185,0.236
0.846,189,223,27,AL,193,85,3.15,7,0.23,0.268
0.778,300,223,36,AL,137,66,2.58,9,0.172,0.219
0.808,248,233.1,23,NL,174,66,2.28,14,0.207,0.256
0.875,240,214.1,28,AL,152,73,2.9,14,0.198,0.254
0.875,239,198.1,26,NL,139,42,1.77,5,0.196,0.232
0.808,221,180.2,25,AL,112,41,1.89,13,0.178,0.254
0.677,219,250.2,33,NL,231,74,2.44,10,0.245,0.271
0.724,207,199.1,26,NL,149,69,2.89,12,0.206,0.283
0.84,198,222,26,NL,186,73,2.88,6,0.227,0.281
0.75,197,237.2,29,AL,209,92,3.18,15,0.239,0.301
0.8,326,212.1,28,AL,142,66,2.5,11,0.186,0.237
0.741,284,228.1,31,NL,165,77,2.96,8,0.199,0.254
0.69,242,243.2,28,NL,169,69,2.25,6,0.194,0.261
0.769,230,233.2,37,NL,192,78,2.73,4,0.226,0.278
0.741,222,215,32,AL,179,75,2.89,4,0.224,0.257
0.714,216,232,27,AL,185,68,2.48,5,0.217,0.262
0.645,213,230.1,28,NL,186,68,2.42,8,0.224,0.274
0.8,205,211,26,AL,173,63,2.56,11,0.226,0.284
0.69,179,227,32,NL,184,64,2.38,6,0.222,0.271
0.704,230,237.1,30,AL,230,87,3,11,0.255,0.305
0.679,225,208,26,AL,167,81,3.25,22,0.22,0.303
0.704,220,191.1,24,AL,173,76,3.39,10,0.238,0.288
0.76,220,233.2,34,NL,208,65,2.35,18,0.239,0.269
0.679,219,241.2,31,NL,223,83,2.94,3,0.248,0.28
0.704,214,221.2,26,NL,164,73,2.88,12,0.209,0.299
0.76,213,203.1,26,AL,195,88,3.81,4,0.253,0.323
0.704,202,208,24,NL,183,71,2.6,25,0.239,0.287
0.864,200,222.2,31,NL,148,43,1.66,7,0.187,0.231
0.792,197,202.2,32,NL,154,57,2.44,28,0.211,0.268
0.76,188,208.2,24,AL,170,71,2.72,13,0.221,0.296
0.72,300,220.2,33,NL,150,66,2.53,8,0.188,0.247
0.667,269,235.2,28,AL,207,72,2.44,8,0.233,0.279
0.818,265,203.2,31,AL,141,56,2.25,15,0.193,0.235
0.783,252,220.1,29,AL,196,80,3.15,13,0.238,0.294
0.75,251,209,30,NL,161,79,3.32,16,0.21,0.271
0.667,234,218.1,25,NL,181,73,2.93,5,0.222,0.263
0.667,227,215,30,AL,170,82,3.14,4,0.216,0.274
0.75,226,200,30,AL,173,73,3.29,5,0.235,0.287
0.783,225,220.1,29,AL,190,70,2.45,0,0.23,0.272
0.643,219,217.1,24,NL,194,81,2.98,7,0.24,0.281
0.667,219,224.1,27,AL,190,89,3.37,24,0.228,0.291
0.818,202,175,29,NL,136,49,2.31,3,0.212,0.246
0.783,198,219.2,30,NL,195,71,2.79,4,0.238,0.284
0.692,198,235.2,28,AL,182,65,2.41,10,0.212,0.262
0.667,191,201.2,29,AL,180,80,3.53,13,0.24,0.301
0.692,190,197.1,30,NL,138,72,3.1,23,0.194,0.277
0.72,180,176,25,NL,168,76,3.78,9,0.253,0.327
0.68,308,214.1,28,AL,165,73,2.9,10,0.208,0.254
0.68,239,238.1,29,AL,192,81,2.64,16,0.217,0.27
0.68,238,232.2,32,NL,197,66,2.4,11,0.229,0.268
0.63,233,226.2,27,AL,190,88,3.34,5,0.227,0.279
0.63,231,192,31,AL,173,78,3.38,15,0.238,0.285
0.654,228,230,30,AL,227,106,3.99,1,0.258,0.301
0.739,224,212.1,25,NL,149,57,2.37,17,0.197,0.259
0.739,216,215.1,28,NL,190,80,3.05,23,0.237,0.285
0.708,215,202.1,33,NL,172,80,3.2,5,0.23,0.272
0.68,207,202.1,30,NL,190,69,2.71,6,0.247,0.287
0.63,207,207.1,25,NL,193,92,3.52,14,0.245,0.296
0.654,196,176.1,26,AL,181,84,4.19,4,0.266,0.329
0.739,193,177.2,35,AL,150,81,3.65,6,0.225,0.288
0.68,192,192,23,AL,167,66,3.05,14,0.235,0.291
0.708,190,191.1,29,AL,177,97,4.28,6,0.241,0.299
0.708,188,212.1,32,AL,200,93,3.39,15,0.246,0.322
0.739,174,173.2,28,AL,166,69,3.32,6,0.252,0.324
0.739,173,165.2,25,NL,174,80,4.02,4,0.27,0.324
0.708,173,202.1,25,NL,182,64,2.85,9,0.24,0.308
0.696,301,232.2,27,NL,163,62,2.13,7,0.194,0.237
0.64,290,214,35,AL,156,63,2.52,3,0.2,0.242
0.727,268,200.2,32,NL,126,62,2.51,7,0.178,0.247
0.64,254,227.2,33,AL,171,81,3.04,5,0.207,0.263
0.667,253,182.1,23,NL,149,63,2.86,2,0.224,0.288
0.593,246,208.1,32,AL,195,89,3.67,8,0.243,0.3
0.727,240,194.2,35,AL,154,71,3.05,3,0.215,0.283
0.64,232,236,25,NL,164,55,1.83,5,0.195,0.244
0.696,231,187.2,27,AL,179,82,3.74,15,0.25,0.312
0.615,231,212.1,26,NL,194,84,3.43,27,0.242,0.31
0.571,225,249.1,29,AL,195,83,2.82,6,0.217,0.273
0.64,221,191.1,25,AL,156,89,3.9,23,0.22,0.313
0.593,220,219.2,30,AL,194,76,2.46,16,0.236,0.281
0.696,206,223.1,30,AL,191,89,2.94,24,0.232,0.302
0.64,204,204,26,NL,185,86,3.66,9,0.243,0.313
0.727,201,171.2,27,NL,161,82,3.83,8,0.245,0.297
0.571,197,202,25,AL,175,81,3.12,19,0.23,0.318
0.762,193,219.1,27,NL,177,73,2.79,18,0.222,0.274
0.615,192,238.1,30,AL,211,91,3.17,21,0.235,0.265
0.593,191,208.1,22,NL,183,87,3.37,27,0.234,0.284
0.762,189,178.1,31,NL,145,63,3.03,3,0.222,0.269
0.615,186,209.2,28,AL,221,88,3.52,14,0.268,0.284
0.615,180,202.1,35,NL,189,86,3.51,38,0.246,0.307
0.593,179,175.2,28,NL,150,72,3.48,9,0.229,0.291
0.696,179,206.1,25,AL,184,87,3.71,1,0.241,0.303
0.64,179,235,35,NL,214,99,3.22,3,0.244,0.302
0.696,177,176,32,AL,151,75,3.58,5,0.23,0.293
0.64,174,195.1,24,NL,169,68,3.04,12,0.233,0.31
0.75,276,200.1,27,AL,143,68,2.88,14,0.198,0.269
0.556,271,248.1,28,AL,230,100,3.26,12,0.24,0.272
0.652,259,214.1,24,AL,186,86,3.28,7,0.23,0.271
0.625,251,226.2,26,NL,179,79,2.74,6,0.213,0.265
0.714,248,236,28,AL,170,68,2.14,20,0.2,0.243
0.6,239,201.1,29,NL,180,87,3.53,18,0.238,0.293
0.652,226,190.2,26,NL,139,76,3.4,8,0.202,0.29
0.6,223,227.2,30,AL,208,103,3.52,14,0.239,0.295
0.652,219,206,34,AL,170,80,3.36,9,0.221,0.29
0.75,218,162,25,NL,116,57,2.89,8,0.199,0.291
0.556,208,215.1,33,NL,198,110,3.85,16,0.244,0.323
0.789,204,175.1,28,NL,131,55,2.52,7,0.204,0.265
0.833,201,167,34,AL,130,63,3.13,4,0.214,0.303
0.75,200,200.2,32,AL,185,83,3.32,23,0.243,0.319
0.577,199,207.2,34,NL,181,77,3.21,2,0.231,0.275
0.6,198,201.2,26,NL,189,92,3.97,7,0.252,0.327
0.714,197,200,31,AL,184,89,3.38,10,0.238,0.285
0.714,197,159.1,23,NL,136,62,3.16,14,0.23,0.291
0.625,188,201,31,NL,158,69,2.96,14,0.216,0.298
0.556,187,208.1,27,NL,216,101,4.02,4,0.266,0.322
0.714,186,150.2,30,AL,138,71,3.82,7,0.242,0.309
0.577,185,178.1,28,NL,177,103,4.74,7,0.26,0.345
0.789,183,147.2,27,NL,119,59,3.6,3,0.218,0.278
0.625,182,191.2,27,AL,166,77,3.47,14,0.234,0.316
0.6,181,203.2,27,NL,185,72,2.74,1,0.238,0.307
0.682,178,159,29,AL,139,65,3.51,1,0.234,0.3
